X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
784,RPS15A,P62244,0.450958624,0.376398822,0.506976377,0.519797409,0.325986817,0.915,0.92,0.943,0.89,0.86,0.369,-0.433,-0.324,-0.315,-0.482
785,RPS16,P62249,0.4551727,0.013064554,0.014534885,0.156646235,0.626078199,0.915,0.877,0.81,0.847,0.887,-0.757,-2.62,-2.58,-1.45,-0.493
786,RPS17,H3BNC9,0.68290469,0.092796722,0.318900289,0.634705638,0.192542961,0.925,0.902,0.932,0.897,0.836,-0.566,-2.38,-1.39,-0.659,-1.83
787,RPS18,P62269,0.340931641,0.037886508,0.099114221,0.350046145,0.084744815,0.907,0.891,0.897,0.877,0.794,-1.14,-2.56,-2.01,-1.12,-2.1
788,RPS19,P39019,0.051339915,0.010946539,0.153288755,0.391689788,0.090363762,0.85,0.874,0.911,0.881,0.797,-2.29,-3.06,-1.66,-0.986,-1.98
789,RPS2,P15880,0.811237246,0.218562337,0.163670135,0.340466631,0.511762307,0.929,0.913,0.913,0.876,0.879,0.109,-0.568,-0.645,-0.438,-0.3
790,RPS20,P60866,0.850133591,0.017874726,0.013722675,0.509913133,0.871174087,0.93,0.881,0.807,0.89,0.9,0.13,-1.7,-1.77,-0.454,-0.111
791,RPS21,P63220,0.223139392,0.009650214,0.017718241,0.283582609,0.293670148,0.896,0.872,0.821,0.869,0.855,-0.88,-1.94,-1.77,-0.772,-0.756
792,RPS23,P62266,0.149998738,0.86883793,0.702329942,0.954430861,0.503936656,0.885,0.931,0.95,0.911,0.878,0.405,0.0458,0.106,-0.0158,0.186
793,RPS24,P62847,0.948288512,0.586180244,0.049481892,0.172848451,0.817315777,0.933,0.925,0.871,0.851,0.897,0.0589,-0.495,-1.83,-1.25,0.21
794,RPS25,P62851,0.082466735,0.036318803,0.036593892,0.125560694,0.06521363,0.866,0.89,0.858,0.839,0.779,-1.87,-2.28,-2.28,-1.64,-1.99
795,RPS27,P42677,0.297110822,0.714203356,0.664489214,0.210595963,0.022115927,0.904,0.928,0.949,0.859,0.712,0.894,-0.312,-0.369,1.08,2.02
796,RPS27A,P62979,0.402789368,0.001280464,0.211797052,0.115606272,0.019671304,0.912,0.84,0.921,0.835,0.704,0.431,1.78,0.647,0.821,1.24
797,RPS27L,Q71UM5,0.230351842,0.863259939,0.020204927,0.808762209,0.114865242,0.897,0.931,0.828,0.905,0.81,1.07,0.152,-2.14,0.214,1.42
798,RPS28,P62857,0.199196529,0.010419292,0.091975108,0.68101045,0.242572791,0.893,0.873,0.895,0.899,0.846,-2.14,-4.42,-2.83,-0.676,-1.94
799,RPS29,P62273,0.155486539,0.384518288,0.335921338,0.31859721,0.597787757,0.886,0.92,0.933,0.874,0.885,-1.37,-0.832,-0.922,-0.956,0.503
800,RPS3A,P61247,0.667750076,0.069720584,0.306158103,0.626190481,0.951904972,0.924,0.899,0.931,0.897,0.904,-0.415,-1.79,-0.995,-0.471,-0.0582
801,RPS4X,P62701,0.15960478,0.000115257,0.020676706,0.468928964,0.266577491,0.887,0.792,0.83,0.887,0.851,-0.724,-2.19,-1.22,-0.369,-0.569
802,RPS5,P46782,0.022556334,0.033677505,0.478964924,0.476334555,0.114555488,0.819,0.889,0.942,0.887,0.81,-2.07,-1.92,-0.621,0.625,-1.4
803,RPS6,P62753,0.08032263,0.160434657,0.350504568,0.694484431,0.329663406,0.866,0.909,0.934,0.9,0.86,0.567,-0.451,-0.298,0.125,0.311
804,RPS7,P62081,0.960104795,0.00069981,0.036182762,0.260043319,0.962584111,0.934,0.829,0.857,0.866,0.904,-0.0175,-1.3,-0.759,-0.399,-0.0165
805,RPS8,P62241,0.711699254,0.019398186,0.442516779,0.779603189,0.223893491,0.926,0.882,0.94,0.904,0.843,0.109,-0.719,0.228,-0.0827,0.363
806,RPS9,P46781,0.460124767,0.015670269,0.049521052,0.227413151,0.553033747,0.915,0.879,0.871,0.861,0.882,-0.478,-1.63,-1.3,-0.786,-0.383
807,RPSA,P08865,0.408246423,0.040710782,0.223795213,0.896075797,0.554757321,0.912,0.892,0.922,0.909,0.882,-1.09,-2.76,-1.61,-0.171,-0.775
808,RSL1D1,O76021,0.555764227,0.015191678,0.544239983,0.28429022,0.64410332,0.92,0.879,0.945,0.87,0.888,0.523,-2.25,-0.538,-0.956,-0.41
809,S100A9,P06702,0.617754073,0.315618498,0.584352903,0.969546092,0.037253848,0.922,0.917,0.946,0.911,0.746,-0.518,1.05,0.568,-0.0396,2.23
810,SAMD4B,Q5PRF9,0.429132952,0.234275592,0.097645632,0.49898882,0.911624826,0.913,0.914,0.897,0.889,0.902,-0.37,0.559,-0.786,-0.316,-0.0516
811,SAP18,O00422,0.150803693,0.391632412,0.402353965,0.371521584,0.561661202,0.885,0.92,0.938,0.879,0.882,1.09,0.646,-0.631,0.674,0.436
812,SAP30BP,Q9UHR5,2.83e-05,4.2e-08,0.528864103,0.851948224,0.082663551,0.384,0.523,0.944,0.907,0.793,2.91,4.22,0.384,-0.113,1.08
813,SAR1A,Q9NR31,0.392627765,0.355461805,0.324305106,0.538293733,0.339296675,0.911,0.919,0.932,0.892,0.861,-0.836,-0.904,-0.965,0.6,0.935
814,SCIN,Q9Y6U3,0.012018051,8.69e-06,0.745786148,0.012555605,0.067046974,0.792,0.725,0.951,0.728,0.781,1.88,3.69,0.232,1.87,1.34
815,SCYL2,Q6P3W7,0.93405595,0.031074406,0.619522742,0.04624483,0.629715484,0.933,0.888,0.947,0.796,0.887,-0.0643,1.73,0.386,1.59,0.375
816,ENTR1,Q96C92,2.07e-07,3.82e-08,0.752648956,0.708424788,0.250293804,0.0895,0.518,0.952,0.901,0.848,3.43,3.73,0.169,0.2,0.621
817,SDHA,P31040,0.010926689,0.019255426,0.085443575,0.450201074,0.272736914,0.788,0.882,0.892,0.886,0.852,-2.07,-1.89,-1.36,-0.587,-0.856
818,SEC23IP,Q9Y6Y8,0.186064296,0.138575897,0.005338655,0.000354381,0.000495483,0.891,0.907,0.744,0.479,0.399,-0.631,0.709,1.39,1.85,1.8
819,SEC24A,O95486,0.889241886,0.550246141,0.795106252,0.170790279,3.24e-06,0.932,0.924,0.953,0.851,0.0783,-0.0663,0.285,-0.124,0.661,2.62
820,SEC61B,P60468,0.698141644,0.076626265,0.020324936,0.428095383,0.881981946,0.926,0.9,0.829,0.884,0.901,0.247,-1.15,-1.53,0.505,0.0943
821,SECISBP2,Q96T21,6.87e-05,0.017960555,0.217318018,0.000410764,0.338232701,0.454,0.881,0.922,0.49,0.861,2.24,1.23,0.624,1.94,0.482
822,SEPTIN7,Q16181,0.525192103,0.005491243,0.009550973,6.18e-07,0.567180446,0.918,0.864,0.784,0.0835,0.883,0.461,2.13,1.97,4.38,0.415
823,SF1,Q15637,0.791202598,0.954616911,0.044136842,0.851642727,0.326063334,0.929,0.932,0.866,0.907,0.86,0.171,0.0368,-1.34,0.121,-0.639
824,SF3A1,Q15459,0.418821981,0.268548702,0.071107471,0.420615476,0.293171913,0.913,0.915,0.885,0.883,0.855,-0.893,-1.23,-2.03,-0.89,-1.17
825,SF3A2,Q15428,0.836695226,0.178528753,0.969464684,0.402459236,0.620886476,0.93,0.91,0.957,0.882,0.886,0.231,-1.53,-0.0428,-0.942,-0.554
826,SFN,P31947,0.183490149,0.001205389,0.304030305,0.672281112,0.552144852,0.891,0.839,0.931,0.899,0.882,-1.05,-2.72,-0.805,0.329,0.463
827,SFXN1,Q9H9B4,0.339685198,0.002417505,0.031396396,0.102515069,0.094011206,0.907,0.851,0.851,0.83,0.8,-0.687,-2.32,-1.59,-1.19,-1.22
828,SH3GL1,Q99961,0.000728691,4.19e-06,0.106314253,0.005158397,0.354152316,0.633,0.703,0.9,0.674,0.863,1.69,2.49,0.757,1.36,0.429
829,SHMT2,P34897,0.094405198,0.041906184,0.252469481,0.439521745,0.501044,0.871,0.892,0.926,0.885,0.878,-1.8,-2.21,-1.22,-0.818,-0.711
830,SHROOM2,Q13796,0.397668478,5.19e-09,0.794432325,0.304792272,0.615090214,0.911,0.422,0.953,0.872,0.886,-0.463,4.17,-0.142,0.563,0.274
831,SHROOM3,Q8TF72,0.574516927,0.692535171,0.123255691,0.867034274,0.733847767,0.921,0.928,0.905,0.908,0.893,-0.297,0.209,0.828,-0.0884,-0.18
832,SIPA1L1,O43166,1.28e-05,7.12e-13,3.89e-05,0.071138193,0.001582414,0.322,0.0712,0.266,0.815,0.502,2.61,5.67,2.42,0.956,1.76
833,SIPA1L3,O60292,0.77123804,0.004120267,0.203972498,0.801379224,0.430184451,0.928,0.859,0.92,0.905,0.871,-0.14,1.47,0.617,-0.121,-0.381
834,SLC1A5,Q15758,0.067075312,0.000478614,0.000281891,1.37e-06,0.023785384,0.86,0.822,0.469,0.112,0.717,0.88,-1.79,1.88,2.71,1.1
835,SLC25A1,P53007,0.009510106,0.008895881,0.031687331,0.150272257,0.958764945,0.781,0.871,0.851,0.846,0.904,-1.9,-1.92,-1.55,-1.02,0.0361
836,SLC25A3,Q00325,0.68955898,0.176835802,0.058057223,0.719864972,0.716313821,0.925,0.91,0.877,0.901,0.892,0.354,-1.21,-1.72,0.318,0.322
837,SLC35F6,Q8N357,0.542837686,0.942909642,0.815517561,0.758771323,0.350698096,0.919,0.932,0.953,0.903,0.863,0.306,-0.036,-0.117,0.154,0.472
838,SLC3A2,P08195,0.575543357,0.68606914,0.985304593,0.012269462,0.28750819,0.921,0.927,0.957,0.727,0.854,-0.406,-0.292,-0.0133,1.9,0.775
839,SLC4A7,Q9Y6M7,0.165673411,0.002765774,0.005693262,3.72e-07,0.082680182,0.888,0.853,0.749,0.0684,0.793,0.669,1.52,1.39,2.96,0.845
840,SMAP1,Q8IYB5,0.12396768,0.370388715,0.8512886,0.029240602,0.606462609,0.879,0.919,0.954,0.773,0.885,1.91,1.1,0.229,2.76,0.63
841,SMC4,Q9NTJ3,0.004998693,0.001726564,0.001740169,0.240028267,0.075432316,0.749,0.845,0.652,0.863,0.788,1.26,1.43,-1.43,-0.504,0.773
842,SMG7,Q92540,5.17e-05,0.006328638,0.385874113,0.032768174,0.653060275,0.432,0.866,0.937,0.779,0.888,3.93,2.47,0.747,1.89,0.386
843,SND1,Q7KZF4,0.923786915,0.036690879,0.631086291,0.966917546,0.857886237,0.933,0.891,0.948,0.911,0.899,-0.0666,-1.5,0.335,0.0289,0.125
844,SNRNP70,P08621,0.557990958,0.472038916,0.952808456,0.316370748,0.136235305,0.92,0.922,0.957,0.873,0.819,-0.347,-0.427,0.035,-0.597,-0.896
845,SNRPB2,P08579,0.521888053,0.638220428,0.031707907,0.628326956,0.704139672,0.918,0.926,0.851,0.897,0.891,-0.377,0.276,-1.3,-0.284,-0.223
846,SNRPC,P09234,0.011250769,0.121807143,0.324471985,0.030126937,0.004059418,0.789,0.906,0.932,0.775,0.583,-1.59,-0.944,-0.595,-1.35,-1.83
847,SNRPD1,P62314,0.404676718,0.648435068,0.490764979,0.693088694,0.573027335,0.912,0.927,0.942,0.9,0.883,-0.855,-0.466,-0.706,-0.404,0.577
848,SNRPD2,P62316,0.149677542,0.54297182,0.203156912,0.088107728,0.078114783,0.885,0.924,0.92,0.824,0.79,-1.62,-0.676,-1.43,-1.93,-2
849,SNRPD3,P62318,0.08599775,0.07868308,0.47466863,0.763361546,0.432261538,0.868,0.9,0.941,0.903,0.872,-1.77,-1.82,-0.725,0.304,-0.797
850,SNRPE,P62304,0.291942906,0.000737219,0.69489564,0.156636351,0.747054724,0.903,0.83,0.95,0.847,0.894,0.981,3.4,-0.363,1.33,-0.298
851,SNW1,Q13573,0.042594153,0.000753519,0.82006113,0.136522137,0.529163418,0.844,0.831,0.953,0.842,0.88,-0.941,1.65,0.102,-0.681,0.284
852,SON,P18583,0.161192983,0.000417326,0.721082523,0.111794831,0.116799821,0.887,0.819,0.951,0.834,0.811,0.87,2.37,-0.219,0.991,0.977
853,SPAG5,Q96R06,0.167316754,0.00057467,0.533648994,0.880019956,0.909616412,0.888,0.826,0.944,0.908,0.902,0.786,2.11,0.35,0.0848,-0.0637
854,SPC24,Q8NBT2,0.019991238,0.002153516,0.241118521,0.555022741,0.001520856,0.814,0.849,0.925,0.893,0.499,1.52,2.06,0.741,0.371,2.14
855,SPEN,Q96T58,0.000257794,2.79e-07,0.039618966,0.072030357,0.609707764,0.558,0.605,0.861,0.816,0.886,2.98,4.65,1.57,1.36,-0.377
856,SRGAP2,O75044,0.033707092,7.01e-11,3.04e-05,0.051070122,0.006028132,0.835,0.217,0.244,0.8,0.615,1.29,5.41,2.8,1.18,1.71
857,SRP14,P37108,0.057177734,0.009300786,0.006171956,0.181563901,0.015825764,0.854,0.872,0.755,0.853,0.689,-1.43,-2,-2.12,-0.989,-1.84
858,SRP9,P49458,0.88535435,0.032383989,0.590603923,0.903719073,0.831238465,0.931,0.889,0.946,0.909,0.898,-0.146,-2.23,-0.544,-0.122,0.215
859,SRRM1,Q8IYB3,0.033459689,0.012489583,0.014224463,0.15842246,0.04770334,0.835,0.876,0.809,0.848,0.761,-1.94,-2.31,-2.26,-1.26,-1.8
860,SRRM2,Q9UQ35,0.246525146,0.957831227,0.334152316,0.217794887,0.005934684,0.899,0.932,0.933,0.86,0.614,-0.859,-0.0388,-0.714,-0.915,-2.14
861,SRSF1,Q07955,0.002342128,0.000953519,0.024924233,0.0257552,0.030747799,0.707,0.835,0.839,0.767,0.734,-3.66,-4.02,-2.61,-2.59,-2.51
862,SRSF2,Q01130,0.014700712,0.001047233,0.000857778,0.13443556,0.063851823,0.801,0.837,0.585,0.841,0.778,-2.5,-3.48,-3.55,-1.49,-1.86
863,SRSF3,P84103,0.349540812,0.461767422,0.756596627,0.458817815,0.269108856,0.908,0.922,0.952,0.886,0.851,-1.39,-1.09,-0.458,-1.1,-1.65
864,SRSF6,Q13247,0.036417596,0.123431732,0.035751764,0.016118364,0.08566714,0.838,0.906,0.857,0.742,0.795,-1.2,-0.868,-1.2,-1.39,-0.972
865,SRSF7,Q16629,0.106610885,0.006052123,0.579965466,0.072611996,0.078145244,0.875,0.865,0.946,0.816,0.79,-1.51,-2.67,-0.51,-1.69,-1.66
866,SSR3,Q9UNL2,0.48998424,0.135132378,0.054878788,0.227155341,0.555282378,0.917,0.907,0.875,0.861,0.882,-0.691,-1.51,-1.97,-1.22,-0.59
867,SSR4,P51571,0.052459715,0.119249353,0.178959587,0.85089016,0.61593649,0.851,0.905,0.916,0.907,0.886,-0.847,-0.673,-0.578,0.0798,-0.213
868,SSRP1,Q08945,0.008254459,0.112185384,0.052762315,0.171053033,0.140190801,0.775,0.905,0.873,0.851,0.82,1.84,-1.07,-1.31,-0.916,-0.989
869,ST13P5,Q8NFI4,0.306190388,0.446114552,0.369452535,0.666500473,1.13e-05,0.905,0.922,0.935,0.899,0.129,0.794,-0.589,-0.695,0.332,3.92
870,STAT1,P42224,0.101691452,0.004196784,0.62448558,0.266102881,0.026754588,0.873,0.86,0.948,0.867,0.725,1.25,2.28,0.367,0.839,1.72
871,STAU2,Q9NUL3,1.72e-05,0.020013051,0.537046972,0.21236297,0.10625398,0.345,0.882,0.944,0.859,0.806,2.89,1.41,0.361,0.736,0.961
872,STEAP3,Q658P3,0.742868709,0.830001601,0.942695869,0.00201313,0.465058794,0.927,0.93,0.956,0.61,0.875,-0.208,0.136,0.0454,2.1,-0.464
873,STK38,Q15208,0.007456273,0.000723484,0.598629235,0.005689239,0.028160371,0.77,0.83,0.947,0.68,0.728,2.7,3.52,0.504,2.8,2.17
874,STMN1,P16949,0.092930915,0.051803602,0.036221834,0.152391341,0.132289939,0.87,0.895,0.857,0.846,0.817,1.54,1.79,-1.94,1.3,1.37
875,STON2,Q8WXE9,0.546897424,0.846484903,0.971442208,0.033171191,0.340345913,0.919,0.93,0.957,0.78,0.861,-0.502,-0.161,-0.0297,1.83,-0.797
876,STRAP,Q9Y3F4,0.171437567,0.617654171,0.073588971,0.136630615,0.969511561,0.889,0.926,0.887,0.842,0.904,1.46,0.526,-1.93,-1.59,0.0402
877,STT3A,P46977,0.12319256,0.967603171,0.122721524,0.434929991,0.914491133,0.879,0.932,0.904,0.884,0.902,1.39,0.036,-1.39,0.695,0.0952
878,STT3B,Q8TCJ2,0.071151643,0.094480946,0.097081388,0.522981172,3.04e-06,0.862,0.903,0.897,0.891,0.0761,0.968,-0.894,-0.887,0.336,2.89
879,STX5,Q13190,0.773604129,0.507525892,0.708943652,0.852678297,0.004865957,0.928,0.923,0.95,0.907,0.598,0.191,0.44,0.247,-0.123,1.98
880,SUB1,P53999,0.00321936,0.010803447,0.07802511,0.004708398,0.075620894,0.725,0.874,0.889,0.668,0.788,-3.37,-2.87,-1.93,-3.22,-1.95
881,SUGP2,Q8IX01,0.540246794,2.71e-06,0.621687277,0.925124691,0.58218831,0.919,0.689,0.947,0.91,0.884,-0.349,3.16,-0.281,0.0534,-0.313
882,SUMO1,P63165,0.41702809,0.305878857,0.223310314,0.658152954,0.463823184,0.913,0.917,0.922,0.898,0.874,-0.608,0.769,-0.918,-0.33,0.548
883,SUMO2,P61956,0.486617167,0.018355234,0.911490852,0.728623058,0.248829448,0.916,0.881,0.956,0.902,0.848,1.05,3.7,-0.167,0.523,-1.75
884,SURF4,O15260,0.124499687,0.08808734,0.470164442,0.496875125,0.083745114,0.879,0.902,0.941,0.889,0.793,1.61,1.79,0.745,0.7,1.82
885,SVIL,O95425,0.129922562,3.49e-06,0.295112972,0.012977484,0.030140086,0.881,0.697,0.93,0.73,0.732,1.56,5.53,1.07,2.63,2.27
886,SYNCRIP,O60506,0.187819559,0.070084957,0.077984513,0.58204959,0.375529955,0.891,0.899,0.889,0.894,0.866,-1.25,-1.74,-1.69,-0.518,-0.837
887,SYNE1,Q8NF91,0.35003966,0.181625378,0.033621702,0.990996167,0.424076389,0.908,0.911,0.854,0.912,0.871,-0.793,1.14,1.85,0.00951,0.677
888,SYNE2,Q8WXH0,0.535534831,0.482981615,0.290429581,0.01518874,6.77e-06,0.919,0.923,0.929,0.739,0.106,-0.489,0.554,0.839,2,4.14
889,SYNJ1,O43426,0.000322908,3.61e-07,0.003131425,2.49e-07,0.857979397,0.574,0.615,0.703,0.058,0.899,2.05,3.21,1.63,3.28,0.0924
890,TAB2,Q9NYJ8,0.000165262,0.002421872,0.122297617,0.02426631,0.851226702,0.524,0.851,0.904,0.764,0.899,2.96,2.3,1.11,1.65,-0.133
891,TAGLN2,P37802,0.00038825,1.28e-06,0.002355657,9.24e-06,6.54e-06,0.588,0.663,0.679,0.209,0.104,2.4,3.57,2,3.17,3.24
892,TALDO1,P37837,0.080688518,0.543490559,0.346267838,0.556051908,0.764326645,0.866,0.924,0.934,0.893,0.895,-1.22,-0.415,-0.646,-0.402,-0.204
893,TANC2,Q9HCD6,0.747712718,9.51e-06,0.884916756,0.875730567,0.822216908,0.927,0.728,0.955,0.908,0.898,0.232,3.72,-0.105,-0.113,-0.162
894,TARDBP,Q13148,0.863273541,0.266563129,0.306907495,0.877879358,0.160437354,0.931,0.915,0.931,0.908,0.827,0.131,-0.854,-0.784,0.117,-1.08
895,TARS1,P26639,0.003604941,0.023239178,0.009367317,0.03550986,0.190085175,0.732,0.884,0.783,0.783,0.835,-2.65,-2.02,-2.34,-1.86,-1.14
896,TBC1D31,Q96DN5,0.102212645,6.75e-08,0.571310203,0.657836743,0.157409499,0.873,0.544,0.946,0.898,0.826,-0.874,3.55,-0.297,-0.232,-0.752
897,TBCB,Q99426,0.599538432,0.004594398,0.151536514,0.002084526,0.05881119,0.922,0.861,0.911,0.613,0.773,0.371,2.12,1.03,2.33,1.37
898,TDRD3,Q9H7E2,0.809870774,0.666758303,0.286707322,0.055409634,0.314658609,0.929,0.927,0.929,0.804,0.858,0.276,-0.495,-1.23,-2.26,-1.16
899,TECR,Q9NZ01,0.016452518,0.186994016,0.467398027,0.161962202,0.32838404,0.806,0.911,0.941,0.849,0.86,3.27,1.75,0.954,1.86,1.29
900,TES,Q9UGI8,0.002978666,2.05e-06,5.78e-05,2.17e-06,0.000130985,0.721,0.679,0.304,0.132,0.287,1.88,3.34,2.69,3.33,2.53
901,TEX2,Q8IWB9,0.11491244,0.710592815,0.50874152,0.844525649,4.37e-05,0.877,0.928,0.943,0.907,0.207,-0.989,0.229,-0.408,-0.121,2.86
902,TGM3,Q08188,0.836140532,0.144071961,0.387407514,0.664836535,0.194894811,0.93,0.908,0.937,0.899,0.836,-0.164,-1.17,0.687,-0.343,-1.04
903,TIMM50,Q3ZCQ8,0.064061951,0.014411243,0.003844289,0.133172175,0.153459743,0.858,0.878,0.719,0.841,0.825,-1.57,-2.11,-2.54,-1.26,-1.2
904,TIMM8B,Q9Y5J9,0.088084208,0.80660636,0.836305211,0.349016586,0.181856773,0.869,0.93,0.954,0.877,0.833,-0.958,-0.135,-0.114,-0.518,-0.744
905,NEMP1,O14524,0.537745751,0.160765478,0.357401317,0.064101245,0.741780504,0.919,0.909,0.935,0.81,0.894,0.379,0.872,-0.567,-1.16,0.202
906,TMEM200B,Q69YZ2,0.085708135,0.515350119,0.081896255,0.848684247,0.963560765,0.868,0.924,0.89,0.907,0.904,-1.15,0.426,1.16,0.125,0.0298
907,TMEM209,Q96SK2,0.843650349,0.159223535,0.722595058,0.673979978,2.65e-05,0.93,0.909,0.951,0.899,0.175,-0.116,0.839,0.209,0.247,2.82
908,TMEM219,Q86XT9,0.270273672,0.174686875,0.129077774,0.7667527,0.794358533,0.901,0.91,0.906,0.903,0.896,2.34,2.89,3.24,-0.624,0.548
909,TMEM33,P57088,0.019237809,0.050115013,0.050808498,0.036913619,0.046482881,0.813,0.895,0.872,0.785,0.76,2.15,1.78,1.77,1.9,1.81
910,MACO1,Q8N5G2,0.141168922,0.585703347,0.399393929,0.57998191,0.035698495,0.883,0.925,0.937,0.894,0.743,-1.02,0.373,0.578,-0.379,1.48
911,TMEM63A,O94886,0.035853983,0.160931697,0.003973684,0.204046705,1.23e-05,0.837,0.909,0.722,0.857,0.133,-1.6,-1.05,2.26,0.946,3.73
912,TMEM9,Q9P0T7,0.210491717,0.71146377,0.341990297,0.763488733,1.74e-06,0.894,0.928,0.934,0.903,0.0597,-0.673,-0.197,-0.508,-0.16,3.03
913,TMSB4X,P62328,0.652474338,0.010115925,0.064366783,0.0731796,0.316210957,0.924,0.873,0.881,0.816,0.858,-0.544,-3.26,-2.29,-2.21,-1.22
914,TNIK,Q9UKE5,0.50550503,0.200708189,0.020658657,0.010169494,0.794035293,0.917,0.912,0.83,0.716,0.896,0.435,0.844,1.57,1.76,0.17
915,TNKS1BP1,Q9C0C2,0.378985296,3.33e-05,0.102943662,2.82e-07,0.493184383,0.91,0.762,0.899,0.0611,0.877,-0.509,2.72,0.957,3.63,-0.396
916,TNRC6A,Q8NDV7,1.49e-07,5.15e-05,2.36e-06,0.109886385,0.285612609,0.0787,0.773,0.0819,0.833,0.854,3.38,2.38,2.91,0.845,0.559
917,TOMM22,Q9NS69,0.291566663,0.027928567,0.019570624,0.478545587,0.220455766,0.903,0.887,0.827,0.888,0.842,-1.12,-2.41,-2.57,-0.751,-1.31
918,TOP1,P11387,0.112905177,0.183144787,0.577868483,0.061790531,0.049139385,0.876,0.911,0.946,0.809,0.763,-0.882,-0.736,0.305,-1.05,-1.11
919,TP53,P04637,0.964202762,0.290030714,0.096921777,0.629070493,0.112964658,0.934,0.916,0.896,0.897,0.809,-0.0708,-1.68,-2.67,-0.763,-2.55
920,TPI1,P60174,0.040457377,0.000624161,0.08112778,0.401159579,0.110411281,0.842,0.827,0.89,0.882,0.808,-1.85,-3.27,-1.56,-0.738,-1.42
921,TPM4,P67936,0.116663964,0.019058378,0.149104623,0.618951982,0.114872986,0.877,0.882,0.911,0.896,0.81,-1.37,-2.09,-1.26,-0.427,-1.38
922,TPT1,P13693,0.052321916,0.008149245,0.08526527,0.758934625,0.857075597,0.851,0.87,0.892,0.903,0.899,-1.44,-2.01,-1.27,-0.221,-0.13
923,TRA2B,P62995,0.036246545,0.221641041,0.431418517,0.326369634,0.447546777,0.838,0.913,0.939,0.874,0.873,-1.95,-1.11,-0.711,-0.89,-0.686
924,TRAFD1,O14545,0.7386206,0.478098857,0.779914304,0.544568563,0.272859527,0.927,0.923,0.952,0.892,0.852,-0.195,-0.415,-0.163,0.354,0.644
925,TRAP1,Q12931,0.120520574,0.00202406,0.15412374,0.202363288,0.609661061,0.878,0.848,0.912,0.857,0.886,-1.33,-2.79,-1.22,-1.09,-0.431
926,TRIM25,Q14258,0.317270392,0.015676919,0.932229211,0.894230729,0.288983271,0.906,0.879,0.956,0.909,0.854,-0.586,1.47,0.0495,0.0774,0.622
927,TRIO,O75962,0.703488621,2.22e-05,0.289750901,9.64e-06,0.928250766,0.926,0.752,0.929,0.212,0.903,-0.251,3.21,0.704,3.39,-0.0594
928,TRIP11,Q15643,0.087303988,0.44833033,0.069518351,0.84476282,0.838148999,0.868,0.922,0.884,0.907,0.898,-2.12,0.923,2.25,-0.237,0.248
929,TTC28,Q96AY4,0.025656742,1.04e-07,0.882538422,0.045566749,0.568399164,0.825,0.564,0.955,0.795,0.883,1.89,5.42,0.121,1.68,-0.467
930,TTF2,Q9UNY4,0.000753997,7.92e-08,0.206356651,0.003477893,0.055926275,0.635,0.551,0.92,0.648,0.771,2.39,4.38,0.832,2.03,1.28
931,TTN,Q8WZ42,0.814484121,0.139618288,0.046154226,0.229491861,0.990587156,0.929,0.907,0.868,0.862,0.905,0.292,1.87,2.55,1.51,-0.0147
932,TUFM,P49411,0.326741404,0.048166483,0.331579674,0.933909488,0.741009051,0.906,0.894,0.933,0.91,0.894,0.404,-0.832,0.4,0.0339,0.135
933,TXLNG,Q9NUQ3,0.245482483,9.72e-06,0.367890685,0.173668948,0.240507784,0.899,0.729,0.935,0.851,0.846,0.702,3.07,0.542,0.825,0.709
934,TXN,P10599,0.922576778,0.169240509,0.664895161,0.017342912,0.080937104,0.933,0.91,0.949,0.746,0.791,-0.0388,-0.556,-0.173,-0.991,-0.713
935,TXNDC12,O95881,0.947302268,0.12680964,0.066927161,0.080070444,0.591739628,0.933,0.906,0.883,0.82,0.884,-0.0718,-1.69,-2.04,-1.94,-0.584
936,TXNDC5,Q8NBS9,0.503897189,0.726083223,0.221143206,0.495428807,0.11736187,0.917,0.928,0.922,0.889,0.811,-0.793,-0.415,-1.46,-0.809,-1.89
937,TXNL1,O43396,0.615611273,0.305902836,0.014751028,0.202397446,0.874034115,0.922,0.917,0.811,0.857,0.9,0.424,0.871,-2.15,-1.09,-0.134
938,U2AF1,P0DN76,0.10736221,0.001216171,0.031600952,0.065525551,0.290786771,0.875,0.839,0.851,0.811,0.855,-1.31,-2.78,-1.77,-1.5,-0.847
939,UACA,Q9BZF9,0.36477165,0.017724139,0.000294969,1.9e-05,0.574404529,0.909,0.881,0.474,0.256,0.883,-0.58,1.57,2.54,3.13,-0.358
940,UBA1,P22314,0.167668132,0.000316265,0.082188631,0.660713037,0.567270745,0.888,0.814,0.891,0.898,0.883,-1.59,-4.52,-2.02,-0.5,-0.652
941,UBE2J1,Q9Y385,0.181189886,0.552890533,0.786330107,0.173557604,0.003284769,0.89,0.925,0.953,0.851,0.565,-0.829,0.364,-0.166,-0.844,1.92
